%dict_expr_name%
2,36,90,78,0,34,5,19,42,88,70,0,79,82,84,27,45,0,0,99,0,98,12,100,93,15,100,14,97,15,0,27,27,46,99,100,100,62,61,62,52,92,91,49,69,100,92
0,5,100,100,0,65,0,0,97,96,95,0,98,75,30,30,75,0,0,99,0,99,0,100,100,25,100,15,99,15,0,40,15,93,100,100,100,90,85,75,97,92,75,95,97,100,99
0,5,98,95,0,2,0,98,0,98,97,0,98,95,98,95,50,0,0,100,0,100,0,100,100,98,100,100,100,5,0,98,95,95,99,100,95,99,95,90,96,99,100,100,100,100,100
0,7,100,70,0,0,0,0,9,55,92,0,100,91,91,9,0,0,0,100,0,91,0,100,100,100,100,0,100,0,0,0,100,70,100,100,100,100,55,35,100,100,91,9,100,100,100
0,65,100,100,0,0,0,0,35,100,100,0,100,100,100,0,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,35,100,100,100,100,100,100,0,100,100,100,0,100,100
0,100,2,100,0,60,0,0,21,95,0,0,97,3,95,30,87,0,0,100,0,100,0,100,95,0,100,0,100,0,0,11,0,75,100,100,100,0,95,21,70,5,100,100,100,100,97
0,5,100,100,0,1,0,0,94,99,99,0,98,100,90,0,35,0,0,100,0,100,0,100,100,0,100,0,100,0,0,1,0,10,99,100,100,0,1,75,0,100,92,1,0,100,100
0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
0,5,100,99,0,93,0,90,0,100,90,0,0,96,97,97,93,0,0,99,0,97,0,100,98,0,99,97,99,0,0,100,0,55,100,99,100,97,2,2,97,99,99,0,98,100,99
0,57,100,96,0,87,4,0,78,91,52,0,100,100,0,13,74,0,0,100,0,95,0,100,83,0,100,0,100,87,0,4,0,9,100,100,100,0,83,96,0,100,44,0,100,100,96
0,100,100,65,0,0,0,0,0,89,89,0,65,100,100,100,0,0,0,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,65,100,100
0,100,100,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100
0,29,86,0,0,86,0,100,0,100,43,0,0,86,100,0,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,100,14,100,100,100,0,0,0,0,100,100,0,100,100,0
11,5,100,99,0,1,50,0,99,91,96,0,99,18,100,1,96,0,0,99,0,100,98,100,98,0,100,0,100,5,0,15,75,99,100,100,100,100,96,1,99,100,99,0,100,100,100
0,0,100,100,0,0,0,0,100,100,100,0,100,100,100,0,33,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,0,100,0,100,100,0,0,100,100
0,84,95,95,0,0,0,0,0,0,60,0,5,0,50,35,10,0,0,97,0,85,0,100,0,0,0,99,10,0,0,24,0,70,16,100,99,0,0,0,0,23,80,0,0,99,13
0,63,78,5,0,2,0,100,3,72,43,0,48,48,4,50,8,0,0,100,0,60,0,100,49,0,48,0,8,0,0,48,0,3,50,77,100,0,0,0,1,49,34,0,5,83,49
0,40,85,10,0,4,0,100,6,98,85,0,95,50,7,70,15,0,0,100,0,90,0,100,98,0,95,0,15,0,0,95,0,5,100,99,100,0,0,0,2,97,13,0,10,95,98
0,85,70,0,0,0,0,100,0,45,0,0,0,45,0,30,0,0,0,100,0,30,0,100,0,0,0,0,0,0,0,0,0,0,0,55,100,0,0,0,0,0,55,0,0,70,0
32,69,66,66,0,56,0,77,1,18,0,0,95,84,87,85,49,0,0,97,0,83,0,100,75,98,99,99,99,19,0,87,88,75,99,100,100,99,80,72,97,93,99,94,85,100,99
0,98,0,30,0,10,0,40,6,3,0,0,88,3,80,50,2,0,0,80,0,80,0,100,50,97,98,95,92,2,0,65,55,30,95,100,100,97,70,25,90,55,97,65,20,98,95
0,10,98,98,0,95,0,98,0,0,0,0,98,93,99,95,75,0,0,99,0,99,0,100,97,90,99,98,98,30,0,97,95,98,98,99,99,99,90,90,99,99,99,99,99,99,99
0,100,0,0,0,0,0,0,0,0,0,0,80,95,30,50,0,0,0,100,0,0,0,100,0,100,100,100,100,0,0,50,95,0,100,100,100,100,0,0,90,96,98,100,75,100,100
99,20,95,95,0,90,1,99,0,0,0,0,97,98,100,98,90,0,0,100,0,100,1,100,97,99,98,98,100,55,2,99,98,100,100,99,100,99,98,93,100,100,100,99,100,100,100
100,96,70,100,0,100,0,100,0,100,0,0,100,100,100,100,95,0,0,100,0,100,0,100,100,100,100,100,100,10,0,100,95,100,100,100,100,100,100,96,100,100,100,100,100,100,100
20,100,98,100,0,98,0,100,0,0,0,0,100,100,100,100,62,0,0,100,0,100,1,100,100,100,100,100,100,15,0,100,100,100,100,100,100,100,100,100,100,100,100,92,100,100,100
0,60,100,40,0,0,0,100,0,20,0,0,100,100,100,100,20,0,0,100,0,100,0,100,80,100,100,100,100,20,0,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100
94,100,0,92,0,0,0,73,0,100,96,0,87,77,99,35,73,0,0,100,0,100,0,100,68,0,100,0,100,19,0,26,0,92,100,98,100,99,98,85,99,94,100,28,93,100,97
92,100,0,96,0,0,0,97,0,100,98,0,92,96,99,35,50,0,0,100,0,100,0,100,93,0,100,0,100,25,0,40,0,98,100,100,100,99,98,90,98,100,100,40,98,100,99
90,100,0,80,0,0,0,23,0,100,90,0,86,86,100,19,86,0,0,100,0,100,0,100,95,0,100,0,100,0,0,5,0,95,100,95,100,100,95,81,100,100,100,45,81,100,91
100,100,0,100,0,0,0,100,0,100,100,0,83,50,100,50,83,0,0,100,0,100,0,100,17,0,100,0,100,33,0,33,0,83,100,100,100,100,100,83,100,83,100,0,100,100,100
100,100,0,0,0,48,0,0,0,0,79,0,97,93,100,83,28,0,0,100,0,100,37,100,97,93,100,96,100,86,0,3,0,93,100,100,100,100,0,93,66,100,100,0,66,100,100
0,50,0,50,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,16.5,0,100,0,0,41.5,0,8.5,0,0,0,0,0,0,0,75,0,0,0,0,0,0,91.5
0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,33,0,100,0,0,83,0,17,0,0,0,0,0,0,0,100,0,0,0,0,0,0,83
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100
0,100,0,80,0,0,0,0,0,0,0,0,70,0,0,30,10,0,0,90,0,90,0,100,0,100,0,75,0,0,0,10,0,100,30,60,100,100,0,0,100,0,0,0,100,0,0
82,92,0,0,14,98,96,43,0,80,58,0,89,2,0,98,0,0,0,93,0,10,0,99,90,0,0,0,0,0,0,38,0,0,0,0,99,0,0,2,0,0,0,0,2,33,0
95,95,0,0,20,95,95,1,0,95,95,0,98,1,0,95,0,0,0,90,0,10,0,99,90,0,0,0,0,0,0,5,0,1,0,0,98,0,0,0,0,0,0,0,0,0,0
50,86,0,0,7,100,93,29,0,64,79,0,79,0,0,100,0,0,0,100,0,0,0,100,86,0,0,0,0,0,0,7,0,0,0,0,100,0,0,7,0,0,0,0,7,100,0
100,95,0,0,15,100,100,100,0,80,0,0,90,5,0,100,0,0,0,90,0,20,0,100,93,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0,0,100,0,100,0,0,0,0,0,15,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,85,0,0,0,0,15,0,0,0,85,15
10,66,67,75,0,10,15,0,0,0,93,1,59,37,30,17,65,0,0,88,0,91,51,100,10,3.5,97.5,75,55,8,0,29,8,20,86,100,99,25,4,20,15,88,33,15,38,99,97
20,50,70,50,0,20,20,0,0,0,85,2,35,65,60,25,30,0,0,85,0,90,75,100,20,7,95,50,55,15,0,30,15,40,89,100,98,50,7,40,30,85,65,30,75,97,93
0,82,64,100,0,0,9,0,0,0,100,0,82,9,0,9,100,0,0,91,0,91,27,100,0,0,100,100,55,0,0,27,0,0,82,100,100,0,0,0,0,91,0,0,1,100,100
25,0,0,35,0,43,0,0,0,0,100,65,10,0,0,55,10,0,0,0,0,0,55,88,0,0,0,0,0,0,0,0,0,0,13,0,100,0,0,0,0,0,0,0,0,0,0
50,0,0,50,0,25,0,0,0,0,100,50,0,0,0,50,0,0,0,0,0,0,50,75,0,0,0,0,0,0,0,0,0,0,25,0,100,0,0,0,0,0,0,0,0,0,0
0,0,0,20,0,60,0,0,0,0,100,80,20,0,0,60,20,0,0,0,0,0,60,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
0,100,0,89,89,0,22,0,0,0,100,0,0,0,78,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
25,98,37.5,33,56,98,99,0,0,25,94,83,99,0.5,12.5,88,12.5,79.25,55,95.75,0,0.5,0,100,81.5,0,0,0,0.25,0,0.25,71.25,0,1.25,74.25,0,0,0,60,0,0.75,1.5,12.5,0,78,70.75,73.25
98,95,0,15,95,95,99,0,0,0,95,91,99,0,50,80,25,80,80,98,0,1,0,100,85,0,0,0,0,0,1,60,0,2,97,0,0,0,60,0,1,5,50,0,97,30,95
2,97,50,65,98,98,98,0,0,99,95,90,98,2,0,87,20,92,50,95,0,0,0,100,96,0,0,0,1,0,0,70,0,2,0,0,0,0,0,0,1,1,0,0,15,98,98
